Paper Title,Format,Year,Author 1,Role 1,Author Affiliation 1,Author 2,Role 2,Author Affiliation 2,Author 3,Role 3,Author Affiliation 3,Author 4,Role 4,Author Affiliation 4,Author 5,Role5,Author Affiliation 5,Country of Origin,Conference or Journal,Location of Conference,Method 1,Method 2,Method 3,Source,abstract,Class1,Class2,Class3,,,,,,,,,,,,,,,,,,,,,,
A comparative and descriptive study of public school library media centers in South Dakota,D/T,2005,"Morris, Lila M",Ph.D.,University of South Dakota,,,,,,,,,,,,,United States,,,surveys,,,http://search.proquest.com/docview/305418353/abstract/DB8412A786C2416APQ/53?accountid=14474,The No Child Left Behind Act (NCLB) of 2001 has schools searching for ways to increase academic achievement of their students. This law also mandates improvement of school libraries because research has shown school library media centers positively impact student achievement. The purpose of this study was to describe and compare school library media centers in South Dakota to determine what the current situation is and how schools will comply with this new law.,Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Literature-based instruction and the role of teacher-librarian as readers' advisor: A teacher research study,D/T,2005,"Ewbank, Ann Dutton",Ph.D.,Arizona State University,,,,,,,,,,,,,United States,,,interviews,panel discussions throughout the school year,,http://search.proquest.com/docview/305027282/abstract/DB8412A786C2416APQ/82?accountid=14474,This year-long teacher research study investigated the following question: What happens when seventh grade students and their reading teacher/teacher-librarian participate in literature-based instruction? Three sub-questions that focused the study were: How do students experience literature-based reading instruction? How do students transact with young adult literature in a literature-based reading classroom? What is the role of the teacher librarian as readers' advisor with students who participate in literature-based reading instruction?,Teaching,,,,,,,,,,,,,,,,,,,,,,,,
Teacher-librarians and teachers: Partners in the collaborative curriculum development process,D/T,2005,"Arsenault, Angela",Graduate student,University of Prince Edward Island,,,,,,,,,,,,,canada,,,observations,interviews,curriculum document analysis,http://search.proquest.com/docview/305386687/abstract/DB8412A786C2416APQ/113?accountid=14474,"This research study explored, tracked, and presented findings of how the Collaborative Program Planning, Teaching and Evaluation process was used for curriculum development in an elementary school in Prince Edward Island, Canada. A teacher-librarian, two classroom teachers, and a technology teacher used the CPPT model to develop, implement, teach, and evaluate two resource-based learning projects within a school library program. Through an action research approach, the study employed several data collection tools: participant and direct observations, interviews with four educators and eight students, curriculum document analysis, and a researcher's reflective journal. Key findings resulting from observations and interview transcripts are reported under the following themes: CPPT Process: Planning Sessions, Implementation and Teaching of Projects, and Evaluation/Assessment, Benefits and Barriers to the CPPT Process, Student Learning, Information Literacy, The Role of the Teacher-Librarian, and Student Interviews. Discussions and the implications for education and teacher collaboration highlighted the curriculum leadership role of the teacher-librarian.",Teaching,,,,,,,,,,,,,,,,,,,,,,,,
The effective secondary school library: the pupils' view,D/T,2005,"McLelland, D H",Ph.D.,University of Strathclyde,,,,,,,,,,,,,United Kingdom,,,individual interviews,discussion groups,,http://search.proquest.com/docview/301669015/DB8412A786C2416APQ/60?accountid=14474,"The research ascertained perceptions of pupils regarding the factors contributing to effective secondary school libraries and considered how far their opinions can be allied to the recommendations of published national guidelines when framing a library policy. A literature search revealed little relevant research onschool library evaluation. Most projects concentrated on managers' point of view rather than highlighting pupils' contribution to policy development. Guidelines published by the Library Association, the Convention of Scottish Local Authorities and the Scottish Consultative Council on the Curriculum were studied for information on research bases and on suggestions for pupil input but it was found that neither aspect was given significant emphasis. There was little guidance on appropriate methodology in the documents dealing with school libraries. Higher education projects yielded more helpful information and it was decided to use the Multiple Constituencies/ Stakeholder method which was already tested in New Zealand and the UK. A qualitative approach, this incorporates some quantitative methods which are used to indicate customers' preferences. Themes relevant to pupils' interests were identified by studying the published Standards and Guidelines and by individual interviews and discussion groups in six East Renfrewshire schools. 241 pupils completed a questionnaire consisting of 37 statements, each being rated on a scale of one to seven. The resulting data yielded information on preferences, from which factors important to pupils were extrapolated, including a comparison of views of younger and older pupils and of boys and girls. Many of the Guidelines' recommendations were acceptable to pupils but issues relating to the teaching of information skills, reading promotion and pupil involvement in library administration were less appropriate.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The relationship between school library media programs and science achievement in Michigan middle schools,D/T,2005,"Mardis, Marcia A",Ph.D.,Eastern Michigan University,,,,,,,,,,,,,United States,,,qualitative measures,,,http://search.proquest.com/docview/305376699/904E0C363BCA4C58PQ/5?accountid=14474,"In 2002, the Michigan School Library Study (MSLS), The Impact of Michigan School Librarians on Academic Achievement: Kids Who Have Libraries Succeed , showed thatschool library media specialists' supports, attitudes, and motivations played essential roles in promoting student reading achievement. If strong school media centers positively impact middle school student reading achievement, can the same be said for middle school science achievement?",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Variables of information literacy in academically successful elementary schools in Texas,D/T,2005,"Bailey, Leatrice Joy",Ph.D.,Texas Woman's University,,,,,,,,,,,,,United States,,,questionnaire,,,http://search.proquest.com/docview/305373575/abstract/DB8412A786C2416APQ/114?accountid=14474,"Students need information literacy skills to solve their information needs and to become productive members of society. Information literacy is the ability to access, evaluate, and use information from a variety of sources (Doyle 1994, 29-33). These skills are process skills and should be taught collaboratively by classroom teachers and librarians within the curriculum and not in isolation. The variables of staffing, scheduling, library use, budget, resources, principal support, and collaboration were examined in this exploratory study to see how they related to the development of information literacy skills.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"An investigation of the relationship between the leadership provided by district media personnel, school library media program areas and student achievement in North Carolina public schools",D/T,2004,"Cogdell, Edna Alston",Ph.D.,Fayetteville State University,,,,,,,,,,,,,United States,,,assessment document,,,http://search.proquest.com/docview/305057489/abstract/904E0C363BCA4C58PQ/6?accountid=14474,"District media personnel serve as advocates for the appropriate role of school library media in the learning process. Research has provided the link between school library media personnel and programs and a high quality education. School library media program areas included in this study were staffing, expenditures, size and age of the collection, and instructional resources and technology. District as well as building-level media personnel are positioned to assist students in developing the information literacy skills to meet the demands of the twenty-first century.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Information and media literacy education within the school library media centers of a Middle Tennessee county,D/T,2004,"Blevins, Melissa F",Ph.D.,Tennessee State University,,,,,,,,,,,,,United States,,,unpaired t-tests,bivariate correlations,stepwise regression summary,http://search.proquest.com/docview/305046550/abstract/904E0C363BCA4C58PQ/34?accountid=14474,The purpose of this study was to examine the current state of information and media literacy education taking place within the school library media centers of one suburban school district in Middle Tennessee given the absence of state standards as well as state or local leadership.,Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The lived experience of Minnesota secondary school library media specialists in an era of educational reform: A dual-method investigation,D/T,2004,"Kelsey, Marie Ellen",Ph.D.,The University of Wisconsin - Madison,,,,,,,,,,,,,United States,,,quantitative survey,interviews,,http://search.proquest.com/docview/305110106/abstract/DB8412A786C2416APQ/65?accountid=14474,"The purpose of this study was to investigate the lived experience of Minnesota school library media specialists during the era of theProfile of Learning , a Minnesota educational reform movement between 1994 and 2003. The Profile of Learning defined ten Learning Areas with matching standards and projects designed to help students meet those standards. The projects were resource-based, influencing high levels of media center activity.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The multiple realities of an elementary school library media center: A case study,D/T,2004,"Lambert, Simon David",Ph.D.,State University of West Georgia,,,,,,,,,,,,,United States,,,survey and document analysis,interviews,observations,http://search.proquest.com/docview/305046642/abstract/904E0C363BCA4C58PQ/37?accountid=14474,"The purpose of this study was to examine an elementary school library media center in the context of the entire school site to determine possible explanations for disparities between actual practice and the ideal recommendations in the literature. The basis for the theoretical framework of this study involves the multiple realities presented by major stakeholders: the principal, media specialist, faculty, and staff. Qualitative methods were used at one elementary school site: interviews, document analysis, observations, and a survey. Information concerning the school culture and climate was also sought through the data collection. The data reveal three major themes: (1) communication, (2) scheduling of the library media center, and (3) roles of the school library media specialist. Findings suggest that lower grades (pre-kindergarten through second) were more or less satisfied with the status quo--receiving a 30-minute story time once a week including checkout time--while upper grades (third through fifth) wanted more flexible access to the media center along with some literacy and research skills lessons. Lack of communication among the school library media specialist and the faculty and staff as well as general school-wide communication issues need attention. There is confusion as to what the roles of the media specialist at this site should be.",Elementary Education,,,,,,,,,,,,,,,,,,,,,,,,
Using large-scale assessments to evaluate the effectiveness of school libraryprograms in California,D/T,2004,"Sinclair-Tarr, Stacy L;",Ph.D.,Pepperdine University,"Tarr, William W, Jr",Ph.D.,Pepperdine University,,,,,,,,,,United States,,,School Characteristics Index (SCI),Survey,,http://search.proquest.com/docview/305034169/abstract/904E0C363BCA4C58PQ/15?accountid=14474,"This California statewide study examined the relationship between the presence of school libraries, as defined by credentialed staffing, and student achievement, as measured by both criterion-referenced and norm-referenced assessments. The 2001 reauthorization of the 1965 Elementary and Secondary Education Act, the No Child Left Behind Act (NCLB), mandates increased student achievement in K-12 schools and districts as a condition for receiving federal monies. Because the accountability provisions under NCLB focus on what students have learned rather than on what is taught, an outcome-based emphasis has created the need to quantitatively determine the effectiveness of specific programs.",Educational software,,,,,,,,,,,,,,,,,,,,,,,,
A case study of four school library media specialists' leadership in Louisiana,D/T,2003,"Underwood, Linda Jean",Ph.D.,West Virginia University,,,,,,,,,,,,,United States,,,qualitative research using interviews,,,http://search.proquest.com/docview/305279058/abstract/904E0C363BCA4C58PQ/2?accountid=14474,"The purpose of this study was to understand the daily activities of effective school librarymedia specialists in an elementary school, middle school, and high school in a Louisiana parish, non-church, public school system through qualitative research using interviews, observation field notes, and written documentation from the three schools. The importance of the study was that there is little known about the leadership role of the school librarymedia specialist and the role of the school library media specialist. Further, the literature concerning effective schools and effective school library media specialists is separate. The study had four conclusions. First, an effective school library media specialist can be the hub of the school. Second, the effective school library media specialist can lead from the middle through technology expertise, collaborative planning, promoting reading and positive public relations. Next, the effective school library media specialist is supported by the positive perceptions of the superintendent, school principal, library supervisor, and classroom teachers who all realize the importance of the school library media program to academic achievement. Even though the programs do not completely meet the standards, through the leadership that evolved from daily collaboration, the school library media specialists in this study managed to provide effective programs. Last, the school librarymedia specialists are enabled by the positive perceptions of the superintendent, scheduling and financial support from the school principal, the advocacy of the library supervisor, and the use of the center by teachers. However, constraints such as a lack of time for collaborative planning, lack of paraprofessional staff, inadequate funding and no substitutes for the school library media specialists constrain them.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"Charter school libraries in Kansas City, Missouri",D/T,2003,"Ringen, Diane Elizabeth",Ed.Spec.,Central Missouri State University,,,,,,,,,,,,,United States,,,,,,http://search.proquest.com/docview/305237386/abstract/DB8412A786C2416APQ/77?accountid=14474,"This study describes Kansas City, Missouri, charter school librarymedia centers. The school library media center is an integral part of the curriculum for students. In Missouri public school libraries are required to have a building collection plan and state evaluation every five years. Many charter schools in Kansas City, Missouri, do not have libraries and are not included in these evaluations. Most charter school library media centers in Kansas City, Missouri, do not meet state standards for library collections and lack funding to improve the collections. Library media specialists, teachers, administrators, and students in Kansas City, Missouri, charter schools provided input for this study during the 2001-2003 school years concerning the influence of school library media centers in charter schools. Missouri Assessment Program (MAP) Index scores for Kansas City, Missouri, charter schools scores were compared. Some Kansas City, Missouri, charter school MAP Index scores have improved since 2001.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
School Library Media Centres (SLMCs): developing boys' secondary school libraries in the Kingdom of Saudi Arabia,D/T,2003,"Bokhari, I.K.A.",Ph.D.,Loughborough University (United Kingdom),,,,,,,,,,,,,United Kingdom,,,questionnaires,Survey,,http://search.proquest.com/docview/301610747/904E0C363BCA4C58PQ/17?accountid=14474,"This descriptive study concerns the development of boys' secondary school libraries in Saudi Arabic into centres of learning in the light of school library media centres in developed countries. Saudi Arabia recognises the importance of developing the learning environment and adopting modern concepts of learning. Teaching the 'Library and Research' instruction, the Schools' Net Project and the Learning Resource Centre Project are evidence of concern with facilitating learning through resource-based school libraries. In order to obtain information about the current situation of school libraries, questionnaires were distributed to schools and to administrative area managers. The overall response rate was 41.6 and 69.2% respectively. The survey results showed that school libraries generally are poor and school librarians neither skilled nor trained. School libraries generally have poor collections, an absence of full-time qualified librarians, a lack of IT, inadequate educational activities and insufficient funding. They therefore cannot be expected to play a significant role in the educational process. In contrast, the majority of school librarians, school managers and administrative area managers reported encouraging attitudes towards modern concepts of learning and school library media centres. Recommendations for development focus on three areas: the learning environment; the physical infrastructure of the school library and its resources; and the status and position of school librarians. The necessity of changing the traditional learning approach into a student-centred approach is stressed. To support such an approach, information skills should be introduced and IT should be considered an important method of accessing information. The role of the school library in the learning process also needs to be recognised and school librarians should be seen as an important part of the educational team. They should have appropriate qualifications in Library and Information Science and be able to access in-service training. Finally, school librarians should be involved in formal collaboration with teaches to develop an effective learning environment.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
The role of the school library media specialist in the integration of computer technology in the high school curriculum,D/T,2003,"Oliver, Sheila Quinn",Ph.D.,University of South Carolina,,,,,,,,,,,,,United States,,,approach teachers with ideas to use computer technology,,,http://search.proquest.com/docview/305314563/abstract/904E0C363BCA4C58PQ/7?accountid=14474,"This qualitative inquiry determined how school library media specialists assist teachers in the integration of computer technology into the curriculum, how school library media specialists and classroom teachers collaborate to bring technology-based practices into the classroom, what challenges school library media specialists face in assisting teachers in the integration of computer resources, and if teachers considered media specialists to be leaders in the realm of computer technology.",Teaching,,,,,,,,,,,,,,,,,,,,,,,,
A comparison of selection tool sources for developing collections of books about American Indians: General and specialized tools,D/T,2002,"Caldwell, Naomi Rachel",Ph.D.,University of Pittsburgh,,,,,,,,,,,,,United States,,,content analysis,,,http://search.proquest.com/docview/276639961/abstract/DB8412A786C2416APQ/116?accountid=14474,"language arts changed to include the histories and contributions of people of color. Multicultural materials increased in publication to address the change in perspectives. During the 1990s the anniversary of Columbus' voyage (1992) resulted in a surge in the number of children's books about American Indians. Debates concerning the accuracy of reviews of children's books about American Indians surfaced as library media specialists sought book reviews to identify books to support the curriculum. A content analysis was conducted of 1,841 children's book reviews and about American Indians published between 1990 and 2000. Reviews from 5 standard, 5 multicultural and 5 specialized American Indian tools along with review criteria were investigated. Review characteristics (new authors, established authors, American Indian authors, major & small press publishers, reviewer background, format, recommended, not recommended, average word count, and total reviews) in standard tools were compared with the same characteristics in multicultural and specialized tools. The data suggest a propensity toward convergence in coverage of reviews in standard and multicultural tools. The differences between standard review characteristics and multicultural review characteristics are 6% or less. When the characteristics in standard tools are compared with those in specialized American Indian tools, little convergence of coverage is found. The differences between standard and American Indian tools show a double digit difference ranging from a low of 10% to a high of 34%. When review criteria and background of reviewers is compared between standard, multicultural and specialized tools, the data suggest that multicultural tools serve as bridge between standard and specialized tools. The data suggest that standard tools do not provide criteria to reviewers to discern negative stereotypes of American Indians in children's books. The data comparing review criteria used by multicultural tools and specialized tools show guidance is given to reviewers to discern negative stereotypes in children's books. The research suggest that school library media specialists who need to identify the largest number of culturally accurate books by and about American Indians are best served by using multicultural and specialized American Indian selection tools.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
A librarian's insights on three library media programs,D/T,2002,"Roe, Sherese Lynae",Graduate student,Pacific Lutheran University,,,,,,,,,,,,,United States,,,,,,http://search.proquest.com/docview/230970018/abstract/DB8412A786C2416APQ/96?accountid=14474,"This qualitative study examines three middle school library media centers in Washington. A range of settings, from rural to suburban, was selected. Comparably sized schools and recent state test scores were also used to determine sites. Administrators' perceptions of the library media program support of student learning and library media specialists' support of teachers and students' learning were in agreement with each other. Commonalities were found in both the library media programs and the principals' perceptions on library media programs. These commonalities led to insights about facilitating a stronger library media program for the school the author serves.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
A study of the library use practices of high school students in three east Tennessee counties,D/T,2002,"Clabo, Carrie Anna",Ph.D.,East Tennessee State University,,,,,,,,,,,,,United States,,,literature review,interview,,http://search.proquest.com/docview/304802669/abstract/DB8412A786C2416APQ/92?accountid=14474,"The purpose of the study was to examine how and why high school students use the library and its resources. It examined how teachers influence students' use of library resources. The participants were 11th-grade students attending public high schools in 3 east Tennessee counties. Participants completed a survey based on library use. Although 350 students were invited to participate in the study, only 130 returned the permission slip, resulting in a 37% response rate. Eleven respondents were asked to participate in a short interview to supplement and add qualitative clarification to the findings. The findings were descriptive in nature, although basic analyses were calculated to identify any relationships between the different variables.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
An analysis of multiple means of providing library media orientation to sixth-grade students,D/T,2002,"Gardieff, Cheryl Perkins",Ph.D.,University of Central Florida,,,,,,,,,,,,,United States,,,face to face accompanied by videotape,videotape of the face to face session delivered using a videocassette recorder,videotape of the face to face session transferred to and delivered using a computer,http://search.proquest.com/docview/305437840/abstract/DB8412A786C2416APQ/78?accountid=14474,"The purpose of this quasi-experimental study was to analyze multiple means of providing school library media orientation to sixth grade students in a suburban middle school. This study employed convenience sampling in order to utilize the incoming population of 369 sixth grade students at Jackson Heights Middle School in Seminole County, Florida, during the 2001-2002 school year. The study tested the following hypotheses with statistical significance being established at p  .05: (1) There will be no statistically significant difference between short-term knowledge demonstrated by students oriented to the school library media center using three different methods of instructional delivery of the same content: (a) face to face accompanied by videotape; (b) videotape of the face to face session delivered using a videocassette recorder; and (c) videotape of the face to face session transferred to and delivered using a computer. (2) There will be no statistically significant difference in long-term knowledge of students oriented to the school library media center using the three different presentation methods.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
An evaluation of Missouri high school library Web pages,D/T,2002,"Brown, Jerry R",Ed.Spec.,Central Missouri State University,,,,,,,,,,,,,United States,,,survey,,,http://search.proquest.com/docview/230716143/abstract/DB8412A786C2416APQ/61?accountid=14474,"As the use of the Internet and computer-based information technology in education increases, the role of secondary school libraries in preparing students for their futures as lifelong learners becomes ever more important. In order to meet that need, many of these libraries are hosting web pages. It is important that pages produced by and for libraries perform their task well.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Extent of collaboration between the school library media specialist and the school-level technology specialist within the state of Florida,D/T,2002,"Seavers, Victoria Anne Bilz",Ph.D.,University of Central Florida,,,,,,,,,,,,,United States,,,online survey,quantitative analysis,qualitative analysis,http://search.proquest.com/docview/305440411/abstract/DB8412A786C2416APQ/44?accountid=14474,The purpose of this study was to determine the extent of collaboration between the school library media specialist and the school level technology specialist in the state of Florida. The study's intent was to attempt to clarify the responsibilities of these two roles in the schools.,Educational software,,,,,,,,,,,,,,,,,,,,,,,,
One hundred years of school library and educational technology development: A case study of the New Trier Township High School district,D/T,2002,"Baule, Steven Michael",Ph.D.,Loyola University of Chicago,,,,,,,,,,,,,United States,,,survey,,,http://search.proquest.com/docview/305524288/abstract/904E0C363BCA4C58PQ/36?accountid=14474,The historical development of school library and educational technology programs has not been well documented. Previous research on the historical development of public schooling has generally ignored these areas. Further hindering research in these areas was the fact that foundational studies in library history and educational technology have generally ignored or only briefly addressed the development of programs at the level of secondary education.,Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"Perceptions and stages of concern of selected high school library media specialists about GALILEO, a statewide virtual library",D/T,2002,"Buddy, Juanita Warren",Ph.D.,Georgia State University,,,,,,,,,,,,,United States,,,questionnaire,,,http://search.proquest.com/docview/305529670/abstract/904E0C363BCA4C58PQ/38?accountid=14474,"The study was an investigation of the perceptions and stages of concerns of selected high school library media specialists regarding the use of G[barbelow]eorgiA[barbelow] LI brary LE arning O[barbelow]nline, GALILEO. The Concerns-Based Adoption Model (CBAM) (Hall, Wallace, & Dossett, 1973) and the Diffusion of Innovation Model (Rogers, 1995) provided the theoretical framework for the study.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Perceptions of the changing role of the library media specialist,D/T,2002,"Shelton, Patricia B. Washington",Ph.D.,University of New Orleans,,,,,,,,,,,,,United States,,,survey,Interview,,http://search.proquest.com/docview/305580951/abstract/DB8412A786C2416APQ/115?accountid=14474,"This dissertation investigated the perceptions of library media specialists about their changing roles as teachers of literacy, instructional partners and curriculum/program specialists, as prescribed by the American Library Association to impact change. A pilot study investigated a convenience sample of 25 secondary school librarymedia specialists. The results of the pilot study were incorporated in the main study which utilized two instruments. The first instrument was a survey, Role Expectations of Library Media Specialists Survey, which was administered to 124 library media specialists. The subjects were invited, in the opening session of a conference, to be the convenience sample. The second research instrument was the Information Power Interview, a one-on-one interview with a designed protocol. This interview was conducted in one school district with 25 library media specialists, each independent of the others in a school environment. They were also a convenience sample.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"The school library media specialist, the social studies teacher and collaboration: Their roles in teaching primary sources in the secondary classroom",D/T,2002,"Hunter, Marsha Trentham",Ph.D.,Georgia State University,,,,,,,,,,,,,United States,,,interviews,Tesch's eight-step organizational method,,http://search.proquest.com/docview/305529600/abstract/DB8412A786C2416APQ/70?accountid=14474,The purpose of this study was to identify the practices of three secondary social studies teachers who used primary sources in their classrooms and to identify the role of the library media specialist in the facilitation of that use. Particular emphasis was placed on primary source materials retrieved from the Internet. Teachers were selected because they included an archival unit in the classroom curriculum.,Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Together we're better: The process of collection development in a Prince Edward Island elementary school library,D/T,2002,"Greenan, Elizabeth Anne",Graduate student,University of Prince Edward Island,,,,,,,,,,,,,canada,,,collection mapping,circulation analysis,,http://search.proquest.com/docview/305436207/abstract/904E0C363BCA4C58PQ/39?accountid=14474,"This study explored the collection development process in an elementary school in Prince Edward Island, Canada. The case study employed several data gathering tools: collection mapping, reflections of School Library Committee members, circulation analysis, and the researcher's reflective journal. The findings are shared in two formats: a month-by-month presentation analysis of key themes and an analysis according to the Van Orden collection program model. The vital position that collection development plays in the leadership role of the teacher-librarian was validated through this action research. The collaborative approach used resulted in several tangible benefits to the school library program, including a greater awareness by staff of the complexity of the teacher-librarian's role and an understanding of the value of having a school library committee for developing the school library program. Recommendations for possible actions, as well as suggestions for establishing supports to fully implement these recommendations are presented.",Elementary Education,,,,,,,,,,,,,,,,,,,,,,,,
A survey of practicing school library media specialists to determine the job competencies that they value most,D/T,2001,"McCoy, Brenda S",Ph.D.,Georgia State University,,,,,,,,,,,,,United States,,,Survey with the instrument,,,http://search.proquest.com/docview/304697039/abstract/904E0C363BCA4C58PQ/8?accountid=14474,"The evolution of society and technology has yielded massive changes in education andschool library media programs as the content of knowledge and ways of accessing it have continued to grow exponentially. Today, the school library media specialist is being asked to assume a leadership role in the areas of information access and delivery, learning and teaching, and program administration (American Association of School Librarians & Association for Educational Communications and Technology, 1998). Given the present environment, many institutions of higher education are reassessing their library education programs in an effort to better serve the needs of those who seek positions as library or information professionals.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"A survey of the application of American Library Association school librarystandards in the facilities of secondary schools constructed in Dallas County, Texas after 1990",D/T,2001,"Garrett, Linda Joyce",Ph.D.,Texas Woman's University,,,,,,,,,,,,,United States,,,literature review,,,http://search.proquest.com/docview/238164007/abstract/DB8412A786C2416APQ/54?accountid=14474,"This study investigated how secondary public school libraries in Dallas County, Texas, constructed since 1990, meet or fail to meet national library media center facility guidelines established by the American Association of School Librarians and the Association for Educational Communications and Technology in 1988. Nineteen secondary schools were identified as meeting the criteria and visited by the researcher to gather data. Visual observations were made as well as data gathered with a checklist based on Appendix C of Information Power: Guidelines for School Library Media Programs 1988.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
An exploration of the impact of scheduling on public secondary school libraryuse,D/T,2001,"Cammack, Ann Klinovsky",Ph.D.,Texas Woman's University,,,,,,,,,,,,,United States,,,individual independent t-tests,,,http://search.proquest.com/docview/252103499/abstract/DB8412A786C2416APQ/45?accountid=14474,"This study explored the amount of purposeful use of the school library for secondary English and Social Studies class sections (N = 175) from two comparable secondary schools in North Central Texas, one traditionally scheduled school (N = 82) and one A/B block scheduled school (N = 93). Teacher lesson plans were used to calculate the number of library visits for English and Social Studies class sections. Independent t-tests were used to compare mean differences in library use. The hypothesis, there is a significant difference in the amount of purposeful use of the school libraryduring the school day for a traditionally scheduled and for an A/B block scheduled school, was not supported. The results of the overall independent t-test indicated that there was no significant difference in overall library use between the traditionally scheduled and the block scheduled English and Social Studies class sections (p = .710) at the .05 level. To further explore purposeful library use, individual independent t-tests were conducted for each subject area, revealing that traditionally scheduled English I, II, and U.S. History class sections made significantly more library visits (p = .040; p = .034; p = .035) and A/B block scheduled English III, IV, and Geography class sections (p = .033; p = .012; p = .003) made a significantly greater number of library visits. World History class sections (p = .121) showed no significant difference at the .05 level. The lack of pattern of use as shown in the individual independent t-tests supported the correctness of the overall independent t-test",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
Principals and teacher-librarians: Building collaborative partnerships in the learning community,D/T,2001,"Kolencik, Patricia Liotta",Ph.D.,University of Pittsburgh,,,,,,,,,,,,,United States,,,survey questionnaires,,,http://search.proquest.com/docview/250022148/abstract/DB8412A786C2416APQ/80?accountid=14474,"This study examined the concept of principal support of the school library program and information literacy in 171 school districts in western Pennsylvania. The study investigated the extent to which secondary school principals' assessment of the school libraryprogram's role and the teacher-librarian's role as defined in the Pennsylvania Standards for Library Certification and Practice converged or diverged from that of secondary teacher-librarians' assessment. Additionally, the study sought to ascertain secondary principals' and secondary teacher-librarians' assessment regarding the implementation of information literacy into the school's curriculum. The study provided both a descriptive and an inferential analysis of school library programs and teacher-librarians. The Statistical Package for the Social Sciences was used to analyze the data collected from the survey questionnaires. The probability for all tests of significance was set at .05. The study's major finding was that principals indicated the major role of teacher-librarians was in reference and research services, while teacher-librarians indicated their major role was instruction in information literacy; Other findings demonstrated: (1) the means for teacher-librarians were significantly higher than the means for principals on the following five library services: collection development and organization, integration of information with curricular content, reading guidance, staff development and training; and policy development; (2) there was a high degree of consistency between the rankings of specific library services from both groups (.864); (3) there was no significant difference in the quality of communication between principals and teacher-librarians; (4) both principals and teacher-librarians agreed that the primary challenge that faced the library program was lack of money; (5) both principals and teacher-librarians indicated increased staff development was needed to integrate information literacy into the curriculum; (6) principals named lack of funding as the major barrier to the implementing and integrating information literacy into the curriculum, while teacher-librarians named negative teacher attitudes and a lack of understanding of the role of the teacher-librarian as an instructional partner as major barriers. Based on the study's Keystone finding that principals rarely recognized the instructional role of the teacher-librarian, several implications for improving practice, policy and leadership were discussed.",Library Science,,,,,,,,,,,,,,,,,,,,,,,,
"The effect of the process of collaboration among elementary school librarymedia specialists, teachers, and principals on student achievement in Georgia elementary schools",D/T,2001,"Chambers, Paula Haver",Ph.D.,The Florida State University,,,,,,,,,,,,,United States,,,Iowa Basic Skills test,,,http://search.proquest.com/docview/304692756/abstract/904E0C363BCA4C58PQ/35?accountid=14474,"Student achievement and its measurement is an issue of contemporary importance. Today, the public and politicians tend to rely upon standardized testing as the most dependable measure of teaching and learning. Information Power: Building Partnerships for Learning , the guidelines for school library media programs, characterizes student achievement differently from the legislators' more narrow view of standardized testing. The foundation for student achievement withInformation Power is the information Literacy Standards for Student Learning and indicators that describe core learning outcomes. This study used the legislators' definition of achievement.",Elementary Education,,,,,,,,,,,,,,,,,,,,,,,,
